13,155,0,29,29,4805.8,0.460507703,タイトルの文字数,ブックマーク数,標本,タイトルの文字数（標本内平均）,ブックマーク数（標本内平均）
10,1,,,,,,,,,,
5,1,,,,,,,,,,
36,22,,,,,,,,,,
17,147,,,,,,,,,,
11,185,,,,,,,,,,
40,1,,,,,,,,,,
10,14,,,,,,,,,,
2,1,,,,,,,,,,
25,31,,,,,,,,,,
7,60,,,,,,,,,,
19,9,,,,,,,,,,
15,2,,,,,,,,,,
7,1,,,,,,,,,,
8,16,,,,,,,,,,
5,1,,,,,,,,,,
20,30,,,,,,,,,,
10,31,,,,,,,,,,
14,2,,,,,,,,,,
31,6,,,,,,,,,,
59,10,,,,,,,,,,
10,1,,,,,,,,,,
25,5,,,,,,,,,,
8,12,,,,,,,,,,
95,351,,,,,,,,,,
12,20,,,,,,,,,,
21,3,,,,,,,,,,
6,49,,,,,,,,,,
16,7441,,,,,,,,,,
17,3,,,,,,,,,,
96,139,,,,,,,,,,
14,20,,,,,,,,,,
23,1,,,,,,,,,,
15,121,,,,,,,,,,
4,2,,,,,,,,,,
16,1,,,,,,,,,,
35,29,,,,,,,,,,
37,18,,,,,,,,,,
54,3,,,,,,,,,,
6,2,,,,,,,,,,
9,582,,,,,,,,,,
42,2,,,,,,,,,,
15,216,,,,,,,,,,
37,3432,,,,,,,,,,
29,7,,,,,,,,,,
4,3,,,,,,,,,,
33,54,,,,,,,,,,
48,1,,,,,,,,,,
9,2,,,,,,,,,,
4,4,,,,,,,,,,
14,1,,,,,,,,,,
6,1,,,,,,,,,,
23,1,,,,,,,,,,
72,3,,,,,,,,,,
15,10,,,,,,,,,,
7,1,,,,,,,,,,
25,1,,,,,,,,,,
98,2,,,,,,,,,,
46,5,,,,,,,,,,
24,2,,,,,,,,,,
33,1470,,,,,,,,,,
7,3,,,,,,,,,,
11,1,,,,,,,,,,
39,4,,,,,,,,,,
37,1,,,,,,,,,,
9,4,,,,,,,,,,
12,11,,,,,,,,,,
34,3,,,,,,,,,,
16,1,,,,,,,,,,
12,1,,,,,,,,,,
8,508,,,,,,,,,,
30,2,,,,,,,,,,
